payment_id,customer_id,amount,currency,failure_code,failure_reason
pay_csv_001,cust_1001,1250.00,INR,insufficient_funds,Insufficient funds in account
pay_csv_002,cust_1002,4999.00,INR,card_expired,Card has expired
pay_csv_003,cust_1003,8500.00,INR,risk_block,Transaction flagged by risk engine
pay_csv_004,cust_1004,3200.00,INR,insufficient_funds,Not enough balance for this transaction
pay_csv_005,cust_1005,15000.00,INR,card_expired,Expired card details on file
pay_csv_006,cust_1006,750.00,INR,insufficient_funds,Account has insufficient funds
pay_csv_007,cust_1007,22000.00,INR,risk_block,Suspicious activity detected
pay_csv_008,cust_1008,1800.00,INR,card_expired,Card expiry date is in the past
pay_csv_009,cust_1009,5500.00,INR,insufficient_funds,Low balance — retry later
pay_csv_010,cust_1010,35000.00,INR,risk_block,Risk check failed — high value transaction
